word,counts
吴亦凡,250
喜欢,132
step,96
先生,62
by,56
Mr,51
永远,51
快乐,45
追星,42
Kris,38
生活,37
每个,37
梅格妮,33
努力,32
开心,32
the,29
my,27
人生,26
you,26
世界,26
一起,25
自由,23
粉丝,22
time,22
未来,21
希望,21
可爱,20
平安,20
小号,20
Taking,18
一天,18
哥哥,18
天地,17
温柔,17
每天,15
微博,15
凡凡,15
Wu,15
人间,15
一生,15
健康,14
一枚,13
银河,13
最好,13
喜乐,13
初心,13
简单,12
幸福,12
热爱,12
保护,12
好好,12
Galaxy,12
路遥知马力,11
底线,11
世间,11
不想,11
2020,11
宽面,11
认识,11
in,11
美好,11
me,10
理想,10
be,10
说好,10
galaxy,10
一定,10
wu,10
优秀,10
kris,10
原告,10
love,10
关注,10
KRIS,9
重要,9
我会,9
唯一,9
态度,9
说明,9
to,9
善良,9
现在,9
看看,9
想要,9
成为,9
时间,9
加油,9
学生,9
唯凡,9
一只,9
支持,8
安好,8
amp,8
不凡,8
专注,8
星星,8
生命,8
知道,8
遇见,8
脾气,8
