word,counts
转发,1178
微博,1047
吴亦凡,582
先生,204
Mr,199
晚安,171
哥哥,116
超话,116
快乐,110
小心,107
好听,100
新歌,95
音乐,84
喜欢,82
羞嗒,68
八周年,58
今天,57
开心,55
生日快乐,50
宝贝,49
情人节,48
凡凡,48
鲜花,45
希望,40
代言,35
潮流,35
合伙人,33
加油,32
亲亲,32
wyf,31
早安,31
循环,31
月亮,31
1106,30
强大,28
认识,28
嘻嘻,28
单曲,28
期待,27
每个,27
笑出,26
兔子,26
失望,25
鼓掌,25
微博想,25
5000,24
粉丝,22
##,22
啊啊啊,22
一点,21
益达,21
辟谣,21
good,21
可爱,21
doge,20
悲伤,20
明天,20
bot,20
兰蔻,19
好好,19
知道,19
已经,19
易威登,19
二哈,19
允悲,19
一起,18
高兴,18
太阳,17
一天,17
铺子,17
良品,17
微博凡,16
呜呜,16
豆沙,16
BBQ,16
一下,16
全球,16
好想你,16
永远,15
笑哈哈,15
提起,15
女孩儿,15
早上好,15
51,15
世间,15
每天,15
自拍,15
宝格丽,15
五千万,14
能够,14
浪漫,14
继续,14
20,14
极光,14
出道,13
上线,13
一定,13
晚上,13
出现,13
可怜,13
