attitudes_count,comments_count,reposts_count,mid,raw_text,source,user.description,user.follow_count,user.followers_count,user.gender,user.id,user.mbrank,user.mbtype,user.profile_url,user.profile_image_url,user.screen_name,user.statuses_count,user.urank,user.verified,user.verified_reason,F_or_T
0,0,0,4487944045755246,转发微博,小米9 SE,🌼🌼,300,17,m,7012805627,1,11,https://m.weibo.cn/u/7012805627?uid=7012805627,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/007EB16bly8gdnjvp5g8ij30ro0romzg.jpg?KID=imgbed,tva&Expires=1587585801&ssig=%2Bph0N13e4N",裴笑尤染,4331,4,False,,T
0,0,0,4487943513379889,转发微博,iPhone客户端,梅格妮一直都在,751,864,f,2684960285,2,2,https://m.weibo.cn/u/2684960285?uid=2684960285,"https://tvax1.sinaimg.cn/crop.0.0.828.828.180/a0093e1dly8gdonogho3zj20n00n0gn9.jpg?KID=imgbed,tva&Expires=1587585801&ssig=6mOhd6Q9if",格格不入wu,15473,37,True,吴亦凡超话粉丝大咖,T
0,0,0,4487940560117684,晚安啦哥哥[月亮] 学生们太搞笑了[允悲][允悲] 希望明天一切顺利 爱你哦[心]@Mr_凡先生 ,OPPO随光而变R17,UjoFan有一个地方只有我们知道,249,195,f,5769941135,6,2,https://m.weibo.cn/u/5769941135?uid=5769941135,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.180/006iu5gHly8fqh7w51pcaj30ru0rvtad.jpg?KID=imgbed,tva&Expires=1587585801&ssig=p4SXkIpWvX",往后余生kris,7391,14,True,吴亦凡超话粉丝大咖,T
0,0,0,4487940233260756,晚安@Mr_凡先生[鲜花],小米Note 3 拍人更美,一直都在的梅格妮~我要做个善良逗比的小天使 立志坐上吴亦凡的跑车副驾驶 世界巡回 再坐上私人飞机飞到马德里,490,463,f,2064022141,4,12,https://m.weibo.cn/u/2064022141?uid=2064022141,"https://tvax4.sinaimg.cn/crop.0.0.1002.1002.180/7b067a7dly8ge05ou6zx7j20ru0ru76t.jpg?KID=imgbed,tva&Expires=1587585801&ssig=Oi6FvH794V",不想冬眠的蛇小妮,10514,41,True,吴亦凡超话粉丝大咖,T
0,0,0,4487933765556054,转发微博,nova4自拍极点全面屏,,1003,536,f,1012362420,7,12,https://m.weibo.cn/u/1012362420?uid=1012362420,"https://tva1.sinaimg.cn/crop.7.0.497.497.180/3c576cb4jw8f9jlwdvp6rj20e80dt3z3.jpg?KID=imgbed,tva&Expires=1587585801&ssig=UwmFcbpg9h",天使小翼baby,105613,48,False,,T
0,0,0,4487931492239396,转发微博,Android,努力去见你。,489,14821,f,5832754607,2,2,https://m.weibo.cn/u/5832754607?uid=5832754607,"https://tvax1.sinaimg.cn/crop.0.0.1008.1008.180/006mJDVdly8ge1u92ii46j30s00s0dha.jpg?KID=imgbed,tva&Expires=1587585801&ssig=hDUunGrvrD",ZJiali·,118864,26,True,吴亦凡超话粉丝大咖,T
0,0,0,4487928434916121,怎么办一直都听[音乐][音乐][音乐]#吴亦凡新歌贰叁好听# ,iPhone 7 Plus,Galaxy_小玉子❤️天地东西、走南闯北永伴凡不离不弃❤️,860,600,f,6221948270,5,12,https://m.weibo.cn/u/6221948270?uid=6221948270,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006N4EYmly8gdusysb96oj30e80e874u.jpg?KID=imgbed,tva&Expires=1587585801&ssig=tS4JjZaydX",UJofanNi,4481,30,True,吴亦凡超话粉丝大咖,T
0,0,0,4487922453154570,因为喜欢 所以愿意分享,HUAWEI G9 青春版,男生.女生.情侣.动漫头像每天跟新,45,1,f,7423177227,1,11,https://m.weibo.cn/u/7423177227?uid=7423177227,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/0086mTuXly8gdbn7hujzfj30ro0roac3.jpg?KID=imgbed,tva&Expires=1587585801&ssig=p%2BjRoH0JPb",Mr_萌妹,13,0,False,,T
0,0,0,4478365719220440,中午好[嘻嘻]@Mr_凡先生 ,小米8周年旗舰手机,未曾谋面的也迟早会相遇,122,132,f,6384162242,2,11,https://m.weibo.cn/u/6384162242?uid=6384162242,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/006Y3ieKly8gdnsmd2ep6j30ru0rumzp.jpg?KID=imgbed,tva&Expires=1587585801&ssig=IL2uhEJC2e",一口一个小盆友ing,2249,9,True,吴亦凡超话粉丝大咖,T
0,0,0,4478362602605552,像大海对鱼说得话,iPhone客户端,,51,38,f,6662748386,0,0,https://m.weibo.cn/u/6662748386?uid=6662748386,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/007gUddEly8gdflxuzjh0j30e80e874y.jpg?KID=imgbed,tva&Expires=1587585801&ssig=VN7SswIR0%2B",无缘也懂你,91,4,False,,T
