word,counts
易烊千玺,401
喜欢,130
努力,113
世界,77
永远,74
成功,64
一心一意,64
找到,64
生活,59
伟大,59
千玺,51
追星,48
好好,46
开心,39
快乐,36
善良,32
今天,30
希望,30
千纸鹤,30
平安,29
宝贝,29
保护,28
只管,28
上天,27
衡量,27
追逐,26
自有,26
温柔,24
一只,24
可爱,23
转弯,23
好事,23
少年,23
背影,23
发生,21
一起,21
人间,21
美好,21
自由,20
xxxx,20
愿意,19
总会,19
顺利,18
Jackson,18
成为,17
日日,16
for,16
未来,16
加油,16
Yee,16
一天,15
小号,15
一枚,15
最好,15
知命,14
偏爱,14
下个,14
to,14
TFBOYS,13
you,13
本命,13
优秀,13
数据,13
幸福,13
红海,13
长大,13
酌情处理,12
过滤,12
适当,12
热爱,12
知道,12
一生,12
重要,11
我会,11
1128,11
粉丝,11
2020,11
星星,11
每天,11
唯一,11
XXXX,11
遇见,11
现在,11
微博,10
幸运,10
陪伴,10
存在,10
梦想,10
女孩,10
千唯,10
独一无二,10
男孩,10
星球,9
以后,9
喜乐,9
地方,9
认识,9
底线,9
the,9
认真,9
