word,counts
易烊千玺,1014
晚安,960
转发,819
微博,757
TFBOYS,394
宝贝,285
超话,147
一心一意,128
惊喜,128
礼物,120
迷人,119
舞步,118
跃动,118
解锁,118
闪亮,118
绰绰,118
乐章,118
朋友,117
光影,117
亲亲,106
千玺,105
月亮,100
福利,89
代言,87
可爱多,85
啊啊啊,83
哥哥,76
宝贝儿,72
早安,65
##,60
置顶,52
羞嗒,48
鲜花,48
如期而至,47
日常,47
今天,47
蓝天白云,47
7000,45
偏爱,43
自定义,42
leaves,38
喜欢,38
04.01,38
太阳,38
出现,36
之后,34
小心,34
开心,32
1128,32
烟霏,32
改变,32
深处,31
憧憬,31
4.01,29
明天,28
青春,28
哈哈哈,28
允悲,27
诗会,27
keep,26
八千万,25
弟弟,25
8000,23
宝宝,22
肥鹤太肥,22
念来,22
8000w,22
漂亮,22
晓雾,21
作业,21
幼儿园,20
to,20
鼓掌,19
Little,19
will,19
little,19
nova,18
天接,18
星等,18
跳舞,18
期待,18
doge,17
加油,17
云涛,17
兔子,17
快乐,17
Try,16
花园,16
3.31,16
早上好,15
很先,15
you,15
思考,15
翻斗,15
千千,14
一天,14
28,14
胡图,14
yun,14
啥时候,14
