word,counts
喜欢,794
生活,729
努力,568
快乐,415
世界,366
人生,338
开心,300
永远,278
可爱,262
幸福,230
you,214
希望,205
追星,205
岁月,198
简单,195
the,191
一只,173
自由,171
一起,170
一天,169
to,165
热爱,161
未来,159
温柔,158
一生,157
好好,155
is,153
一枚,152
最好,152
人间,148
想要,145
美好,143
amp,142
be,142
平安,141
小号,139
日常,139
加油,136
今天,134
成为,132
梦想,130
关注,128
女孩,128
每天,126
一定,126
善良,122
值得,122
时间,122
少女,121
知道,118
吃货,113
遇见,111
and,110
微博,109
抽奖,109
阳光,108
本命,108
love,107
哈哈哈,105
一点,104
记录,104
美食,101
减肥,98
我要,97
幸运,96
相信,95
现在,93
me,93
需要,91
更好,89
拥有,86
时光,86
温暖,86
生命,86
有人,85
学习,85
等待,85
喜乐,84
做个,83
少年,83
期待,82
重要,81
不想,79
it,79
有趣,78
漫长,78
坚持,76
孤独,76
暴富,76
分享,75
2020,74
初心,74
东西,74
健康,71
明天,70
余生,70
保持,70
平凡,70
我会,67
过去,67
