word,counts
转发,7465
微博,6002
心愿,4934
锦鲤,3258
佳琦,2699
李佳琦,1700
开心,1681
鼓掌,1378
doge,1304
中奖,1196
啊啊啊,1186
憧憬,1167
嘻嘻,961
允悲,854
想要,701
我来,639
二哈,633
希望,623
Austin,585
破产,564
喜欢,555
直播,538
看看,478
羞嗒,472
绝缘体,470
加油,414
一次,394
关注,383
哈哈哈,377
试试,377
幸运,368
cry,364
可爱,359
抽奖,359
分母,341
OMG,307
微笑,303
买买,301
期待,298
馋嘴,298
可怜,294
简单,292
我要,282
参与,269
女生,259
中奖率,255
兔子,253
一下,253
康康,243
抽到,241
好运,238
今天,235
直播间,227
微博来,227
冲冲,214
2020,210
414,207
挤眼,192
一天,184
吃瓜,184
钱包,182
女孩,182
##,181
知道,178
魔鬼,177
哥哥,174
偷笑,171
抽中,169
悲伤,168
成为,164
不语,160
附体,157
东西,156
运气,156
good,153
比心,152
米奇,152
梦想,146
试一试,143
今晚,142
偷乐,142
节来,140
拉低,140
小心,137
心动,134
转评,133
一定,130
哇哇,130
哈哈哈哈,129
不到,129
首场,126
拥有,126
产品,122
鲜花,122
作揖,121
日常,119
佳琪,119
错过,119
附身,117
好多,114
