word,counts
杨幂,17
小号,8
感情,7
cue,7
不离,6
不弃,6
寻寻,5
希望,3
心态,3
蜜蜂,3
越来越,3
喜欢,3
快乐,3
美好,3
不断,2
一只,2
现在,2
飞过,2
微博,2
紫微,2
开心,2
多些,2
瑶儿,2
签名,2
底线,2
不想,2
Hello,2
人生,2
勿扰,2
扶瑶,2
一秒,2
个性,2
挑战,2
勇敢,1
八八,1
重要,1
面对,1
上岸,1
犯禁,1
回复,1
Jdifrlove,1
积极向上,1
the,1
sky,1
青春,1
年龄,1
能量,1
活力,1
同学,1
吃瓜,1
以武,1
感德,1
太子,1
揖拜,1
父皇母,1
皇天,1
上帝,1
玉皇大帝,1
王母娘娘,1
天后,1
娘娘,1
天恩,1
中天,1
犯法,1
北极,1
大帝,1
下凡,1
仁风率,1
风风雨雨,1
活着,1
攀登,1
命运,1
峻峰,1
以文,1
所谓,1
内心,1
简简单单,1
快快乐乐,1
孤岛,1
动若脱兔,1
静若处子,1
始于,1
晴川,1
陷于,1
白浅,1
忠于,1
不期而遇,1
主动,1
故事,1
星星,1
风花,1
太阳,1
天真,1
取悦,1
情绪,1
戒掉,1
一路,1
小跑,1
继续,1
加油,1
