word,counts
杨幂,137
憧憬,49
转发,40
微博,36
超话,29
小幂,24
啊啊啊,22
营业,18
终于,18
肖砚,18
心头,16
安静,15
橘子,14
拂晓,14
医生,13
谢谢,13
嘻嘻,12
姐姐,11
mi,10
helloLibr,10
一只,9
微风,9
狐狸,8
同一个,7
衣服,7
限定,7
老婆,7
大王,7
宝贝,7
龙虾,7
丸子,7
笙歌,7
这身,7
城市,7
亲亲,6
草莓,6
大幂,6
tyx,6
简单,6
自拍,6
比心,5
玛丽,5
300,5
米奇,5
一点,5
多来,5
桃纭,5
啥时候,5
暴风,5
自在,5
悠然,5
我来,5
小明,5
樱绽,5
银河,5
寻寻,5
鲜花,5
野游,5
弧线,5
小心,5
九块,5
麦芽糖,5
好想你,5
喜欢,4
呜呜,4
萝卜,4
屠灵,4
馋嘴,4
大美女,4
太酷,4
羞嗒,4
小说家,4
刺杀,4
嗷嗷,4
蜜蜂,4
函数,4
保护,4
酸奶,3
不酸,3
doge,3
滑雪,3
问问,3
谦虚,3
约定,3
那次,3
金鸡,3
Thirteen,3
瑶儿,3
早安,3
一起,3
鸭头,3
##,3
susuu,3
599,3
鼓掌,2
一步,2
小鱼,2
3.16,2
电视剧,2
94949,2
