word,counts
喜欢,161
快乐,138
追星,108
努力,100
生活,96
杨超越,88
小号,77
超越,72
永远,70
开心,65
世界,65
amp,52
可爱,47
废话,47
学习,46
希望,46
人生,45
今天,41
关注,40
加油,39
星星,37
少女,36
温柔,36
微博,36
平安,34
未来,34
you,33
日常,33
一起,32
美好,32
好好,31
热爱,30
啊啊啊,30
重要,30
成为,30
博主,29
想要,28
本命,28
一定,28
梦想,28
每天,27
一点,26
选手,26
墙头,26
自由,26
学生,25
知名,25
be,24
the,24
love,24
一枚,23
不想,23
一只,22
知道,21
一天,21
for,21
人间,21
记录,21
抽奖,21
幸福,21
宇宙,20
粉丝,20
少年,20
健康,20
暴躁,20
时间,20
转发,20
最好,20
to,19
优秀,19
喜乐,19
and,19
值得,19
谢谢,19
爱好者,18
me,18
一生,18
佛系,18
帅哥,18
拥有,18
事情,17
cp,17
is,17
it,17
幸运,17
2020,17
哈哈哈,17
期待,17
坚持,16
第一,16
万事,16
感情,16
工作,15
咸鱼,15
认证,15
in,15
漂亮,15
国家一级,15
脾气,15
我要,15
