word,counts
转发,1931
微博,1528
保佑,1169
妹妹,1025
超越,996
拜托,814
姐姐,469
明天,385
锦鲤,358
杨超越,358
谢谢,342
希望,317
考试,282
顺利,277
余生,266
作揖,259
求求,256
往后,249
加油,220
今天,200
好运,158
可怜,140
一定,124
啊啊啊,119
一次,117
少女,117
101,114
火箭,113
开心,110
成功,108
小心,107
一下,88
呜呜,81
喜欢,81
嘻嘻,80
鲜花,78
梦境,73
深渊,73
一切顺利,72
悲伤,69
四级,69
成绩,61
cymm,60
救救,58
越姐,57
过过,56
过去,56
六级,55
顺顺利利,54
球球,53
失望,52
面试,52
科目,50
考研,48
关注,48
努力,48
上岸,47
拳头,46
下午,45
草莓,44
宝贝,43
强大,43
抽到,42
初心,42
我来,42
英语,41
必过,41
不想,41
告别,41
教资,40
平安,40
允悲,40
一起,40
兔子,40
可爱,40
亲亲,40
不忘,40
最近,38
拜拜,38
快点,38
奶拔,36
一点,36
心想事成,36
四季,36
快乐,35
运气,33
小姐姐,33
靠你了,33
转运,33
酸奶,33
我要,32
鼓掌,32
中国,32
一天,31
转转,31
一拜,31
我爱你,31
doge,30
Repost,30
平平安安,30
