word,counts
王一博,493
喜欢,253
平安,151
喜乐,125
唯粉,95
一博,94
追星,82
一生,81
快乐,78
永远,78
努力,77
世界,75
生活,68
热爱,65
少年,58
岁月,57
无感,55
开心,52
来日方长,50
摩托,49
不负,49
肖战,49
保持,46
漫长,45
人间,44
可抵,43
希望,41
85,39
可爱,38
水产,38
未来,38
数据,37
小号,34
心气,33
甜甜,33
爱博此,33
温柔,32
幸福,30
之巅,30
未知,29
好好,29
美好,28
人生,28
一起,28
一只,28
cp,28
值得,27
夏天,27
做到,27
全貌,27
关注,26
不予置评,26
酷盖,26
本命,25
加油,25
遇见,24
星星,24
偏爱,24
唯爱,24
UNIQ,24
雪山,24
一枚,23
事情,23
守护,23
极致,22
成为,22
amp,21
底线,21
wyb,21
专用,21
最好,21
梦想,21
mtjj,21
今天,20
你好,20
万事,20
一天,20
博君,20
少女,19
一颗,19
勿扰,19
我会,18
猫头,18
男孩,18
一把,18
开启,18
知道,18
一点,17
you,17
一定,17
专注,17
健康,17
感情,17
等待,17
每天,17
唯一,16
灵魂,16
一肖,16
学生,16
自由,16
