word,counts
王一博,2524
转发,2087
微博,1926
地球,1408
一起,1340
UNIQ,1331
支持,792
永远,769
明星,765
势力,764
拿下,760
第一名,757
绿色,590
守护,497
一滴,487
一棵,487
肌肤,487
环保,395
汨泽一,359
悦木之源,330
wyb,287
超话,283
十年,275
一博,234
全开,223
底气,221
强韧,172
人生,167
希望,167
坚持,167
演绎,161
多面,161
加入,147
力量,145
开启,145
行动,145
创造,139
Origins,134
探索,134
中国,131
YiBo,131
羽珊,123
进入,122
不息,120
十年间,119
安好,104
小心,94
宝贝,83
加油,83
啊啊啊,80
星球,75
脚步,75
开心,73
停息,72
选择,72
数据,70
比心,68
粉丝,68
米奇,68
宝宝,68
后援会,67
WYBBar,63
喜欢,60
哥哥,52
能量,50
好好,49
憧憬,48
共同,48
吃饭,44
保护环境,41
鼓掌,40
注意,38
身体,37
保护,37
发自,37
good,36
自拍,36
一定,36
意义,33
亲亲,33
微博想,32
一宝儿,32
有翡,31
事情,30
艺人,30
屏障,28
可怜,28
关注,27
好帅,27
未来,27
羞嗒,26
老公,25
鲜花,25
带来,25
谢允,25
平安,24
浪漫,23
我爱你,23
Repost,23
跳舞,22
