word,counts
王俊凯,984
未来,358
喜欢,236
TFBOYS,161
努力,105
温柔,82
永远,81
追星,75
闭关,71
螃蟹,71
世界,63
生活,61
一起,60
快乐,54
底线,49
女孩,46
王源,43
粉丝,42
易烊千玺,42
人间,39
一定,37
好好,37
数据,37
四叶草,35
十年,34
平安,33
本命,32
加油,31
唯一,31
遇见,30
希望,29
宝贝,28
一枚,27
值得,27
开心,26
理想,26
美好,26
暴躁,26
长大,25
最好,25
男孩,25
热爱,25
蓝海,24
下去,24
可爱,23
少年,23
Karry,23
梦想,23
星辰,21
每天,21
相信,21
平平安安,20
恭喜发财,20
今天,20
中考,19
一只,19
千千,19
常安,19
高三,19
我会,19
偏爱,19
阳光,19
微博,19
之约,18
the,18
唯爱,18
凯唯,17
坚持,17
人生,17
喜乐,17
帝国,17
开学,17
护凯,16
TFB,16
需要,16
小凯,16
第一,15
优秀,15
星星,15
成为,15
放弃,15
守护,15
小号,15
俊凯,15
只为,15
自由,15
学生,15
健康,15
you,15
to,15
我爱你,14
猖狂,14
现在,14
娱乐圈,14
事情,14
一天,14
小朋友,14
蓝色,14
一生,14
知道,14
