word,counts
王俊凯,6998
TFBOYS,3243
乐队,2598
音乐,1890
转发,1361
超话,1325
微博,1290
一起,1238
小凯,1095
未来,1038
http,1023
cn,1023
早安,881
凯撒,879
护卫队,879
凯哥,680
Live,589
晚安,548
树读,524
太阳,504
22,438
总裁,428
A6zSY4ss,426
开启,422
工坊,412
市场,400
探索,380
开播,372
组合,369
放肆,353
芒果,350
易烊千玺,349
TV,349
感受,344
band,344
派对,343
王源,343
魅力,343
35,340
上线,340
无限,336
A6z62wUQ,336
十足,336
气场,336
一天,257
月亮,242
宝贝,237
今晚,221
舞台,204
早上好,204
挑战,201
周五,195
小心,183
##,180
少年,170
事情,165
螃蟹,162
喜欢,152
期待,149
现在,131
努力,130
昨晚,129
没缓,125
下去,125
过神儿,124
回应,124
掷地有声,124
太燃炸,124
热爱,122
憧憬,115
前行,115
勇敢,111
坚持,106
全新,104
尽兴,100
烧脑,99
规则,98
今天,97
美好,97
继续,97
亲爱,96
哥哥,95
Ai1dvtSc,89
AiBATLCS,88
战胜,84
节目,81
一周,79
haha,78
目标,78
流星,73
王总,73
羞嗒,72
终于,70
成为,65
boss,64
强大,64
终将,64
需要,64
无畏,64
困难,63
