word,counts
王源,594
唯爱,183
喜欢,147
TFBOYS,87
永远,82
回家,64
顺遂,47
万事,45
快乐,44
长大,44
世界,43
宝贝,42
汤圆,41
追星,39
源源,38
努力,36
平安,35
无畏,35
遇见,32
生而自由,32
蹉跎,31
远行,27
心中,26
喜乐,26
一起,25
好好,25
生活,25
Roy,25
成为,23
可爱,23
男孩,22
粉丝,22
热爱,20
底线,19
圆圆,19
勇敢,19
女孩,19
第一,18
Never,18
温柔,18
人间,17
开心,17
重要,16
希望,16
一枚,16
幸福,16
名字,16
唯一,16
小号,16
少年,16
未来,15
自由,15
入侵,15
欢喜,14
一定,14
最好,14
不负,14
四叶草,14
本命,14
知道,14
善良,13
源哥,13
相信,13
一個,13
星星,12
一生,12
一颗,12
关关,12
夏天,12
星辰,12
you,12
需要,12
lose,12
每天,12
有人,12
所求,12
优秀,11
关注,11
健康,11
勿扰,11
学习,11
give,11
今天,11
一天,11
is,11
强大,11
太阳,11
歌迷,11
值得,11
一顆,11
现在,11
时间,11
所得,11
hope,11
all,11
源于,10
偏源,10
橙海,10
Love,10
意思,10
