word,counts
王源,3492
TFBOYS,1168
转发,875
微博,801
早安,758
超话,622
大使,472
哥哥,398
晚安,307
联合国儿童基金会,280
宝贝,255
品牌,249
照顾,206
chopard,192
小心,187
萧邦,186
源哥,183
青春,170
##,166
亲亲,151
好想你,150
翻滚,150
铁血,150
熊猫,150
诗会,146
太阳,143
主宰,127
唯爱,115
好好,103
源源,89
甜品,87
情书,87
官博,87
写给,87
后援会,86
存货,83
分享,79
可怜,76
起床,75
封面,74
永远,73
今天,71
月亮,71
想念,68
点点,65
依古,64
迪西,64
天亮,64
玛卡,64
巴卡,64
汤姆,64
布利,64
飞鱼,64
代言人,56
在家,53
一起,53
生活,52
喜欢,52
四班,52
羞嗒,51
工作室,49
RoyWang,49
早上好,48
中华,47
一定,47
啊啊啊,47
牙膏,45
晚上,45
一首,45
牧尘,44
悲伤,43
一天,43
每天,42
知道,42
看看,40
圆圆,39
微博想,37
哈哈哈,37
努力,36
眼中,36
记得,34
2020,34
心里,34
午安,33
ELLEMEN,33
回家,33
景明,32
三月份,32
冲刷,32
四月份,32
ELLEMAN,32
新岁,32
失望,32
钢铁,32
最近,32
一眼,32
支持,31
平安,31
鲜花,31
温柔,30
