word,counts
肖战,980
热爱,617
岁月,596
漫长,569
可抵,544
喜欢,527
生活,226
灵魂,212
平安,202
战而来,191
努力,190
有趣,189
世界,185
唯粉,179
追星,156
一起,154
永远,151
四起,143
小飞侠,143
数据,139
希望,138
温婉,133
回头,133
快乐,132
居家,131
肖烟,123
不卑不亢,118
战战,117
人生,113
小号,113
温柔,110
善良,107
喜乐,106
加油,105
更好,102
顺顺利利,100
守护,94
开心,94
最好,88
保持,87
下去,86
美好,82
未来,82
少年,81
保护,80
一生,78
一枚,77
一定,75
一只,75
成为,73
向前,71
向上,70
熬夜,69
人间,68
微博,68
思想,66
余生,65
好好,62
等待,62
遇见,58
一天,58
哥哥,57
星星,56
可爱,54
有钱,54
阳光,54
时间,53
此生,53
简单,53
从来不,52
坚持,52
想要,51
幸福,50
风景,50
一种,49
生命,49
专注,49
支持,49
向阳,48
最美,47
越来越,47
劳动,47
不骄不躁,46
开启,46
每个,46
归来,46
一把,46
闯世界,45
跨界,45
星河,45
时光,44
相信,44
值得,43
我会,43
便是,43
小赞,43
自由,43
宝贝,42
一人,42
理想,42
