word,counts
肖战,13713
少年,12047
DAYTOY,12034
支持,10995
永远,10963
势力,10937
明星,10935
一起,10863
拿下,10730
第一名,10654
转发,1136
微博,1108
加油,481
红梅赞,252
能量,222
今天,218
战战,203
余生,202
指教,194
xz,186
兔子,177
大陆,167
艺人,161
战斗,161
开心,121
晚安,117
小心,116
一天,110
哥哥,107
向阳,105
喜欢,97
努力,96
最近,96
一片丹心,94
红梅,92
好好,85
暖心,77
顺顺利利,69
每天,61
后援会,60
期待,59
宝贝,56
好想你,54
天气,54
超话,53
平安,53
严寒,51
美好,51
太阳,49
鲜花,49
看到,48
三九,47
生活,47
战哥,45
经典,45
依然,44
何所惧,43
越来越,43
春暖花开,42
粉丝,42
早上好,41
梅花,41
百合,40
更好,39
最好,38
希望,37
数据,37
事情,37
春天,37
微风,37
有点,36
热爱,36
阿战,36
路上,36
精神,35
蜂蜜,35
一定,35
世界,35
月亮,34
岁月,34
竹笋,34
自苦寒,33
温柔,33
明天,33
阳光,32
啊啊啊,32
温暖,31
喜乐,31
中午,31
漫长,30
花儿,30
华中,30
可抵,30
吃饭,30
分会,30
早安,29
嘻嘻,29
小飞侠,29
优秀,29
祖国,29
