word,counts
蔡徐坤,160
ikun,46
喜欢,42
amp,39
KUN,37
IKUN,34
花花世界,26
静守己,23
小号,21
kun,20
未曾,17
相遇,17
谋面,16
追星,15
努力,15
永远,13
终将,13
数据,12
快乐,12
远航,10
伴坤,10
开心,10
披金成,10
流言,9
世界,9
Kun,9
希望,9
粉丝,9
温柔,8
小猫咪,8
生活,8
顺应,8
for,7
一只,7
宝贝,7
幸运,7
女孩,7
小猪,7
一枚,7
善良,6
爱坤,6
姐姐,6
菜菜,6
旗下,6
一生,6
每天,6
Ikun,5
梦想,5
be,5
可爱,5
热爱,5
一起,5
陪伴,5
今天,5
互粉,5
葵葵,5
唯坤,5
只爱,5
唯一,5
不负,5
一人,4
轮博,4
一天,4
向阳,4
you,4
开开心心,4
哥哥,4
陪你走,4
超级,4
必回,4
美好,4
有人,4
秃头,4
音乐,4
will,4
好好,4
quot,4
cxk,4
简单,4
一定,4
艺人,4
时光,4
小宝贝,4
All,4
自由,4
长大,4
底线,4
女人,4
AK,4
感谢,4
平安,4
离开,4
少年,4
it,3
高考,3
最好,3
夏天,3
尊重,3
一片,3
没人,3
