word,counts
虞书欣,268
喜欢,242
追星,155
快乐,141
生活,110
努力,109
小号,105
可爱,103
欣欣,93
加油,84
世界,67
开心,66
永远,62
女孩,52
温柔,46
人生,45
人间,44
能量,43
希望,42
关注,39
微博,38
本命,38
学习,35
学生,34
日常,34
少女,33
美好,32
墙头,31
最好,31
好好,31
一枚,31
热爱,30
一起,29
每天,29
值得,29
pick,28
一只,28
自由,28
废话,27
成为,27
记录,27
the,26
宝贝,26
未来,26
you,26
知道,25
谢谢,25
星星,25
易烊千玺,24
好看,24
仙女,23
转发,22
选手,22
一定,22
冲浪,22
be,21
理想,21
一天,21
平安,21
今天,21
优秀,20
小可爱,20
amp,20
善良,20
太阳,20
博主,20
想要,20
梦想,20
月亮,20
op,20
岁月,19
宇宙,19
一生,19
佛系,18
cp,18
知名,18
美女,18
2020,18
位出,18
暴躁,18
石榴,17
漂亮,17
专用,17
自律,16
and,16
for,16
超级,16
相遇,16
我要,15
海棠,15
拥有,15
喜乐,15
浪漫,15
有趣,15
王一博,15
重要,15
幸福,15
长大,15
粉丝,15
one,15
