word,counts
青春,14381
微博,4415
虞书欣,4255
加油,3720
Esther,3668
能量,3547
希望,3534
爱奇艺,3533
福粒社,3530
助力,3528
魅力,3528
综艺,3526
绽放,3526
加注,3526
真果,3525
登顶,3525
##,2268
转发,991
欣欣,945
可爱,666
好看,312
宝贝,221
直拍,214
啊啊啊,189
亲亲,166
表情,143
喜欢,138
进步,117
憧憬,112
开心,100
呜呜,94
管理,94
小苏打,71
密泡,71
牙膏,71
黑人,71
闪耀,71
冒泡,71
适合,67
太棒了,62
冲冲,59
超话,59
鼓掌,55
舞台,53
子冲,52
小心,48
羞嗒,47
嘻嘻,47
good,44
欣子,42
子好,42
好棒,42
妈妈,41
可怜,39
哈哈哈,36
首歌,36
看看,36
快乐,35
允悲,35
兔子,34
妹妹,34
棒棒,33
妈呀,31
关注,30
人气,30
到位,29
小作,28
发光,27
看到,27
能力,27
doge,27
跳舞,26
业务,26
pick,25
实力,25
太棒,25
抓狂,24
好大,24
超级,24
华策,23
心情,23
拿捏,22
很快,22
提高,22
拳头,22
很棒,21
影视,21
比心,21
女儿,21
天呐,21
努力,21
米奇,21
北京,21
元气,20
出道,20
公演,20
每天,20
女鹅,19
好多,19
太甜,18
