word,counts
迪丽热巴,137
喜欢,113
热巴,78
热爱,52
爱丽丝,33
努力,32
追星,32
透明,26
温柔,26
热热,25
一生,24
永远,21
快乐,21
世界,20
女孩,20
可爱,17
一只,17
人生,16
人间,16
一枚,16
生活,15
默默,15
勇敢,15
加油,14
不停,14
步履,13
微博,13
讨厌,12
开心,12
Dear,12
岁月,11
可抵,11
一如既往,11
底线,11
未来,11
王源,11
键盘,10
美好,9
相信,9
啊啊啊,9
理想,9
小号,9
粉丝,9
希望,8
木拉提,8
永不分离,8
星星,8
阳光,8
幸运,8
梦想,8
需要,8
修图,8
小姐姐,8
月亮,8
迪力,8
事情,8
最好,8
自由,8
漫长,8
姐姐,8
跟着,7
想要,7
有人,7
一天,7
易烊千玺,7
for,7
关注,7
爱豆,7
本命,7
宝贝,7
心向迪,7
肖战,7
胖迪,7
宝藏,7
cp,7
仙女,7
漂亮,7
时光,6
知道,6
慢慢,6
生气,6
男孩,6
公主,6
好好,6
守护,6
少年,6
认证,6
善良,6
安利,6
love,6
现在,6
成为,6
学习,6
偏爱,6
心里,6
is,6
the,6
旅行,6
美丽,5
佛系,5
