word,counts
迪丽热巴,1083
转发,609
Dear,589
微博,562
憧憬,466
永远,398
支持,389
一起,388
明星,386
势力,384
拿下,381
第一名,380
亲亲,299
开心,264
二哈,251
挤眼,247
鲜花,246
鼓掌,239
关注,238
害羞,235
熊猫,234
不语,234
doge,233
羞嗒,233
简单,231
嘻嘻,229
兔子,225
吃瓜,225
喜欢,221
哈欠,210
可怜,204
思考,196
可爱,165
代言,128
vlog,120
营业,119
工作室,111
超话,102
维权,95
热巴,88
嘉行,86
宝宝,80
力士,76
系列,76
沐浴,76
姐姐,71
女星,55
啊啊啊,54
金纺,50
粉丝,48
宝贝,39
自拍,29
巴粉,29
九字,28
dlrb,28
四字,27
终于,26
火箭,25
热爱,23
大美女,21
数据,20
代言人,19
加油,19
公益,19
纯天然,18
DILRABA,18
品牌,18
悲伤,17
张馨予,17
##,17
迪迪,17
小心,17
哈哈哈,16
swisse,16
手住,15
晚安,15
胖子,15
我家,13
更博,13
卧槽,13
一下,12
微笑,12
小可爱,12
允悲,12
疑问,11
抱抱,11
今日,10
看到,10
胖迪,10
美女,10
好看,10
李长,9
作揖,9
后援会,9
bb,9
今天,8
现在,8
演技,8
老婆,8
护卫队,8
